Time;Battery Voltage(V);Charge Current(A);Load Current(A);Temperature Ambiante(C);Modem Voltage(V);


2022-07-10T16:45:29;27.48;0.00;1.13;37.47;24.26;
2022-07-10T17:00:29;27.63;0.01;1.13;37.19;24.26;
2022-07-10T17:15:29;27.27;0.00;1.13;36.94;24.26;
2022-07-10T17:30:29;26.92;0.93;1.16;36.88;24.28;
2022-07-10T17:45:29;27.19;1.71;1.16;37.38;24.26;
2022-07-10T18:00:30;27.28;1.13;1.16;37.75;24.26;
2022-07-10T18:15:29;27.22;0.95;1.15;37.88;24.26;
2022-07-10T18:45:29;26.95;0.66;1.17;37.75;24.26;
2022-07-10T19:00:28;26.98;0.53;1.16;37.69;24.26;
2022-07-10T19:15:28;27.33;0.37;1.15;37.63;24.26;
2022-07-10T19:30:29;27.66;0.23;1.13;37.47;24.26;
2022-07-10T19:45:28;27.05;-0.01;1.14;36.59;24.28;
2022-07-10T20:00:27;26.88;0.09;1.15;36.25;24.26;
2022-07-10T20:15:28;26.80;0.08;1.18;35.81;24.28;
2022-07-10T20:30:28;26.72;0.05;1.15;35.41;24.26;
2022-07-10T20:45:28;26.70;0.01;1.15;35.03;24.26;
2022-07-10T21:00:29;26.63;-0.00;1.17;34.44;24.28;
2022-07-10T21:15:28;26.64;0.01;1.16;33.84;24.28;
2022-07-10T21:30:29;26.63;0.01;1.16;33.44;24.28;
2022-07-10T21:45:29;26.63;0.01;1.18;33.06;24.28;
2022-07-10T22:00:29;26.61;0.00;1.16;32.75;24.28;
2022-07-10T22:15:28;26.63;0.01;1.17;32.47;24.28;
2022-07-10T22:30:29;26.63;0.00;1.15;32.22;24.28;
2022-07-10T22:45:29;26.63;-0.01;1.16;32.00;24.28;
2022-07-10T23:00:29;26.61;-0.00;1.15;31.80;24.28;
2022-07-10T23:15:28;26.64;-0.00;1.15;31.63;24.28;
2022-07-10T23:30:28;26.61;0.00;1.14;31.42;24.28;
2022-07-10T23:45:29;26.61;0.00;1.16;31.25;24.28;
2022-07-11T00:00:29;26.59;-0.00;1.15;31.09;24.28;
2022-07-11T00:15:29;26.59;0.00;1.15;30.92;24.28;
2022-07-11T00:30:28;26.59;0.00;1.15;30.75;24.28;
2022-07-11T00:45:28;26.61;0.01;1.14;30.58;24.29;
2022-07-11T01:00:29;26.59;-0.00;1.15;30.39;24.28;
2022-07-11T01:15:28;26.59;0.01;1.16;30.22;24.28;
2022-07-11T01:30:28;26.59;-0.00;1.15;30.08;24.28;
2022-07-11T01:45:28;26.59;0.01;1.14;29.95;24.28;
2022-07-11T02:00:28;26.58;-0.00;1.14;29.84;24.28;
2022-07-11T02:15:29;26.58;-0.00;1.16;29.73;24.28;
2022-07-11T02:30:29;26.59;0.01;1.18;29.64;24.28;
2022-07-11T02:45:29;26.58;0.00;1.15;29.55;24.28;
2022-07-11T03:00:28;26.58;0.01;1.15;29.44;24.29;
2022-07-11T03:15:28;26.58;0.00;1.15;29.33;24.29;
2022-07-11T03:30:28;26.58;0.01;1.16;29.22;24.29;
2022-07-11T03:45:29;26.58;0.01;1.15;29.08;24.28;
2022-07-11T04:00:29;26.58;0.00;1.15;28.97;24.28;
